,status,id,code_gender,flag_own_car,flag_own_realty,cnt_children,amt_income_total,name_income_type,name_education_type,name_family_status,name_housing_type,days_birth,days_employed,flag_mobil,flag_work_phone,flag_phone,flag_email,occupation_type,cnt_fam_members
10400,0,5112649,f,n,n,0,67500.0,working,secondary_/_secondary_special,married,with_parents,-16182,-2827,1,1,1,0,cooking_staff,2.0
153,0,5009358,f,n,n,0,135000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-19692,-5273,1,1,1,0,laborers,2.0
14046,0,5143566,m,y,y,0,270000.0,working,secondary_/_secondary_special,married,house_/_apartment,-18879,-2025,1,0,0,0,managers,2.0
4079,0,5046538,m,y,y,1,373500.0,state_servant,higher_education,married,office_apartment,-13001,-1213,1,0,0,0,core_staff,3.0
6031,0,5062213,f,n,y,2,153000.0,commercial_associate,higher_education,married,house_/_apartment,-13283,-1324,1,0,0,0,accountants,4.0
14441,0,5148810,f,n,y,0,112500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-22416,365243,1,0,0,0,,2.0
12167,0,5118403,f,y,n,0,67500.0,working,secondary_/_secondary_special,married,house_/_apartment,-12312,-1404,1,1,1,0,sales_staff,2.0
10295,0,5106065,m,y,n,0,261000.0,state_servant,higher_education,married,municipal_apartment,-11117,-2676,1,0,0,0,core_staff,2.0
7459,1,5078805,f,n,y,0,306000.0,working,secondary_/_secondary_special,married,house_/_apartment,-18927,-2978,1,0,0,0,high_skill_tech_staff,2.0
3114,0,5037255,f,n,y,0,202500.0,working,secondary_/_secondary_special,civil_marriage,house_/_apartment,-19641,-3191,1,1,0,0,sales_staff,2.0
11972,0,5117957,m,y,n,0,67500.0,pensioner,lower_secondary,married,house_/_apartment,-24500,365243,1,0,0,0,,2.0
10017,0,5105207,f,n,y,0,126000.0,pensioner,secondary_/_secondary_special,separated,house_/_apartment,-21747,365243,1,0,0,0,,1.0
12220,0,5118535,f,n,y,1,81000.0,working,secondary_/_secondary_special,married,municipal_apartment,-15749,-6367,1,1,1,0,cleaning_staff,3.0
5701,0,5061427,f,n,y,0,202500.0,working,secondary_/_secondary_special,married,house_/_apartment,-16227,-4854,1,0,0,0,sales_staff,2.0
2359,0,5029018,f,n,y,0,112500.0,working,secondary_/_secondary_special,married,house_/_apartment,-13868,-415,1,0,0,0,laborers,2.0
11573,0,5116787,f,n,y,0,81000.0,working,secondary_/_secondary_special,married,house_/_apartment,-19661,-3046,1,1,1,0,managers,2.0
3039,0,5036962,f,n,y,0,162000.0,pensioner,secondary_/_secondary_special,widow,house_/_apartment,-25088,365243,1,0,0,0,,1.0
379,0,5010047,f,n,y,0,67500.0,working,secondary_/_secondary_special,married,house_/_apartment,-21889,-8469,1,1,0,0,core_staff,2.0
13758,0,5142763,f,n,n,0,117000.0,commercial_associate,secondary_/_secondary_special,single_/_not_married,with_parents,-10021,-530,1,0,0,0,sales_staff,1.0
6504,0,5066672,f,n,y,0,324000.0,working,secondary_/_secondary_special,separated,house_/_apartment,-16120,-1557,1,0,0,0,high_skill_tech_staff,1.0
10775,0,5113737,m,n,n,0,270000.0,commercial_associate,secondary_/_secondary_special,civil_marriage,with_parents,-8853,-984,1,0,0,1,sales_staff,2.0
1503,0,5023627,f,n,y,0,270000.0,commercial_associate,secondary_/_secondary_special,widow,house_/_apartment,-13270,-235,1,1,1,1,core_staff,1.0
5981,0,5062117,m,y,y,0,310500.0,working,secondary_/_secondary_special,married,house_/_apartment,-17067,-1720,1,0,1,1,high_skill_tech_staff,2.0
7473,0,5078844,f,y,y,1,135000.0,working,secondary_/_secondary_special,married,with_parents,-10532,-117,1,0,0,0,private_service_staff,3.0
11572,0,5116784,f,n,n,1,90000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-10883,-1858,1,0,0,0,,3.0
12219,0,5118529,f,n,y,0,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-12446,-645,1,0,0,0,core_staff,2.0
2270,0,5028779,f,n,y,0,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-15836,-3034,1,0,0,0,,2.0
4007,1,5046340,m,n,y,1,180000.0,working,lower_secondary,married,house_/_apartment,-10581,-1692,1,1,0,0,,3.0
12590,0,5126170,f,n,n,2,112500.0,working,secondary_/_secondary_special,married,municipal_apartment,-12461,-714,1,0,1,0,medicine_staff,4.0
7210,0,5068826,f,y,y,0,157500.0,working,higher_education,married,house_/_apartment,-14976,-3550,1,0,0,1,drivers,2.0
710,0,5011011,f,y,y,0,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-12021,-130,1,0,1,1,sales_staff,2.0
4501,1,5050731,f,n,n,0,135000.0,commercial_associate,higher_education,separated,house_/_apartment,-11712,-4822,1,0,1,1,hr_staff,1.0
12649,0,5126335,f,n,n,0,157500.0,commercial_associate,higher_education,married,house_/_apartment,-16856,-1262,1,1,1,0,laborers,2.0
3320,0,5041157,f,n,y,0,121500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-20198,365243,1,0,0,0,,2.0
12111,0,5118293,f,n,n,2,139500.0,working,incomplete_higher,married,with_parents,-13166,-2988,1,1,1,0,core_staff,4.0
11953,0,5117895,f,y,n,0,112500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-22346,365243,1,0,0,0,,2.0
3434,0,5041560,f,y,y,0,180000.0,commercial_associate,higher_education,married,house_/_apartment,-12953,-306,1,1,1,0,,2.0
10768,0,5113705,f,n,y,2,135000.0,commercial_associate,higher_education,married,with_parents,-14334,-376,1,0,0,0,core_staff,4.0
7502,0,5078923,m,n,y,0,126000.0,working,secondary_/_secondary_special,married,house_/_apartment,-10324,-513,1,1,1,0,laborers,2.0
12023,0,5118073,m,y,n,2,247500.0,working,secondary_/_secondary_special,married,house_/_apartment,-13684,-3779,1,0,1,0,,4.0
12207,0,5118483,f,n,y,0,135000.0,commercial_associate,incomplete_higher,married,house_/_apartment,-10906,-1619,1,0,0,1,,2.0
1903,0,5024744,m,n,y,0,225000.0,commercial_associate,higher_education,single_/_not_married,house_/_apartment,-14195,-6881,1,0,0,0,laborers,1.0
4479,0,5050661,f,n,n,0,191250.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-20304,-8171,1,0,1,0,laborers,2.0
13223,0,5137235,m,y,n,0,180000.0,commercial_associate,secondary_/_secondary_special,married,municipal_apartment,-14084,-2696,1,1,0,0,drivers,2.0
14266,0,5146409,m,n,y,0,211500.0,working,secondary_/_secondary_special,single_/_not_married,house_/_apartment,-10072,-1101,1,1,1,0,core_staff,1.0
5113,0,5054041,f,n,n,1,81000.0,working,secondary_/_secondary_special,married,house_/_apartment,-14290,-1308,1,0,1,0,cooking_staff,3.0
2764,0,5033776,f,n,y,2,103500.0,working,secondary_/_secondary_special,married,house_/_apartment,-13147,-3738,1,0,1,0,laborers,4.0
14512,0,5149010,f,n,y,0,225000.0,working,secondary_/_secondary_special,married,house_/_apartment,-17375,-3759,1,0,0,0,,2.0
9621,0,5099788,m,y,n,0,252000.0,working,higher_education,married,house_/_apartment,-15227,-5300,1,1,1,0,laborers,2.0
11715,0,5117221,f,n,y,0,202500.0,working,secondary_/_secondary_special,civil_marriage,house_/_apartment,-11107,-1953,1,0,0,0,core_staff,2.0
3215,0,5038765,f,n,y,1,112500.0,working,secondary_/_secondary_special,married,house_/_apartment,-13741,-5221,1,0,0,0,laborers,3.0
20,0,5008875,f,n,y,2,126000.0,commercial_associate,higher_education,married,house_/_apartment,-12411,-1773,1,0,0,1,managers,4.0
7158,0,5068633,f,y,y,0,216000.0,working,secondary_/_secondary_special,married,house_/_apartment,-21216,-3641,1,0,0,0,managers,2.0
6369,1,5065624,m,n,y,0,247500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-15302,-596,1,1,1,0,laborers,2.0
5782,0,5061613,m,y,y,1,225000.0,working,secondary_/_secondary_special,married,house_/_apartment,-11378,-867,1,0,1,0,drivers,3.0
12033,0,5118097,m,y,n,3,315000.0,working,higher_education,married,house_/_apartment,-15186,-3110,1,0,1,0,managers,5.0
5050,0,5053867,f,n,y,0,337500.0,state_servant,higher_education,single_/_not_married,house_/_apartment,-15835,-392,1,1,1,0,managers,1.0
7075,0,5068371,m,y,y,0,180000.0,working,secondary_/_secondary_special,married,house_/_apartment,-19438,-5314,1,0,0,0,drivers,2.0
2284,0,5028827,m,n,y,0,171000.0,working,secondary_/_secondary_special,married,house_/_apartment,-19338,-1695,1,0,0,0,drivers,2.0
10987,0,5114424,m,n,n,0,157500.0,state_servant,higher_education,married,house_/_apartment,-11965,-3876,1,0,0,0,core_staff,2.0
5934,0,5061997,m,n,n,0,180000.0,working,secondary_/_secondary_special,single_/_not_married,with_parents,-9046,-1202,1,1,1,1,,1.0
6176,0,5062510,m,n,y,2,184500.0,working,higher_education,married,house_/_apartment,-13911,-4703,1,0,0,1,,4.0
3189,0,5038668,m,n,y,1,225000.0,working,higher_education,married,house_/_apartment,-10382,-1081,1,0,1,0,sales_staff,3.0
7199,0,5068770,f,n,n,0,135000.0,working,incomplete_higher,married,house_/_apartment,-16392,-2119,1,0,0,0,core_staff,2.0
2841,1,5034015,f,n,y,1,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-16609,-186,1,0,0,0,laborers,3.0
11093,0,5115476,f,n,y,0,94500.0,pensioner,secondary_/_secondary_special,married,house_/_apartment,-24285,365243,1,0,0,0,,2.0
4735,0,5052890,m,y,y,1,382500.0,working,higher_education,married,house_/_apartment,-16269,-2728,1,0,0,0,managers,3.0
1613,0,5023939,m,y,y,1,157500.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-9066,-2407,1,0,0,0,cooking_staff,3.0
309,0,5009812,f,n,n,1,202500.0,working,secondary_/_secondary_special,married,house_/_apartment,-11813,-3266,1,1,1,0,sales_staff,3.0
6567,0,5066925,m,n,y,0,391500.0,working,secondary_/_secondary_special,separated,house_/_apartment,-17522,-1526,1,0,0,0,security_staff,1.0
8142,0,5089962,m,y,y,3,450000.0,working,secondary_/_secondary_special,civil_marriage,house_/_apartment,-17296,-3078,1,0,0,1,managers,5.0
7840,0,5089001,f,n,n,2,171000.0,working,secondary_/_secondary_special,married,house_/_apartment,-14622,-1160,1,1,1,0,core_staff,4.0
5676,0,5061377,f,y,y,0,247500.0,working,secondary_/_secondary_special,married,house_/_apartment,-19751,-2847,1,0,0,1,,2.0
4042,0,5046419,m,y,y,0,270000.0,working,higher_education,married,house_/_apartment,-14466,-1569,1,0,1,0,,2.0
2961,0,5036699,m,n,y,0,225000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-20630,-219,1,0,0,0,drivers,2.0
13218,0,5137229,m,y,n,0,180000.0,commercial_associate,secondary_/_secondary_special,married,municipal_apartment,-14084,-2696,1,1,0,0,drivers,2.0
12098,0,5118279,f,n,n,0,112500.0,pensioner,secondary_/_secondary_special,married,municipal_apartment,-21363,365243,1,0,0,0,,2.0
2125,0,5028365,m,y,n,0,225000.0,working,secondary_/_secondary_special,married,office_apartment,-15092,-995,1,0,0,1,drivers,2.0
5991,0,5062141,m,y,y,1,135000.0,commercial_associate,higher_education,married,house_/_apartment,-11383,-777,1,1,0,0,,3.0
8001,0,5089523,f,y,n,0,315000.0,working,higher_education,married,co-op_apartment,-13064,-2286,1,1,0,0,medicine_staff,2.0
10558,0,5113071,f,n,y,0,135000.0,working,incomplete_higher,married,house_/_apartment,-13038,-1617,1,0,0,1,,2.0
14127,0,5145856,f,n,n,1,180000.0,commercial_associate,secondary_/_secondary_special,married,house_/_apartment,-14122,-796,1,0,0,0,laborers,3.0
9759,0,5100182,m,y,y,1,135000.0,working,secondary_/_secondary_special,married,house_/_apartment,-15462,-248,1,0,1,0,drivers,3.0
12314,0,5125289,f,n,n,1,202500.0,working,secondary_/_secondary_special,separated,house_/_apartment,-13939,-134,1,0,0,0,laborers,2.0
7620,0,5079273,f,n,y,2,225000.0,working,higher_education,married,house_/_apartment,-10029,-2705,1,0,0,0,,4.0
1101,0,5022328,m,y,y,0,256500.0,commercial_associate,higher_education,married,house_/_apartment,-21503,-1674,1,0,0,1,core_staff,2.0
13197,0,5137187,f,y,n,0,67500.0,working,secondary_/_secondary_special,married,house_/_apartment,-11405,-1934,1,1,0,0,,2.0
